Status,Campaign ID,Program,Domain,Payout,Type,Deeplink allowed,Affiliate link
Approved,817,Amazon India,amazon.in,3.17%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.amazon.in%2F
Approved,1,Flipkart,flipkart.com,6%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.flipkart.com
Approved,2398,Udemy,udemy.com,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.udemy.com%2F
Pre-approved (open),633,100% Pure,100percentpure.com,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.100percentpure.com%2F
Pre-approved (open),37773,1000books,1000books.de,0.13 INR,CPC,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fankauf.1000books.de%2F
Pre-approved (open),3614,12Go Asia,12go.asia,24%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2F12go.asia%2Fen
Pre-approved (open),9633,24Bottles IT,24bottles.com,4.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2F24bottles.com%2Fit
Pre-approved (open),15984,4finest,4finest.de,0.13 INR,CPC,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.4finest.de
Pre-approved (open),18162,59caps,59caps.com,0.13 INR,CPC,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.59caps.com
Pre-approved (open),5867,A-Premium Auto Parts,a-premium.com,7.13%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fa-premium.com%2F
Pre-approved (open),3686,Aakash Institute,aakash.ac.in,165 INR,CPL,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fanthe.aakash.ac.in
Pre-approved (open),6457,abchome.com,abchome.com,0.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fabchome.com%2F
Pre-approved (open),3826,AbeBooks,abebooks.com,3.15%,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.abebooks.com%2F
Pre-approved (open),17629,Abracadabra NYC,abracadabranyc.com,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fabracadabranyc.com%2F
Pre-approved (open),6970,Abritel,abritel.fr,1.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.abritel.fr
Pre-approved (open),6263,Absolute Home Textiles,absolutehometextiles.co.uk,1.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.absolutehometextiles.co.uk%2F
Pre-approved (open),73268,Accelerated Growth Studio,accelerated.digital,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.accelerated.digital%2F
